Interval=	0.00025 s
ExcelDateTime=	4.4705550345423639e+004	2022-05-24 13:12:29.844603
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG
Range=	10.000 mV	42.46 V
0.08825	0.07125	6.804446
0.0885	0.0715625	6.805931
0.08875	0.0725	6.807426
0.089	0.0746875	6.808929
0.08925	0.0725	6.810413
0.0895	0.0734375	6.811909
0.08975	0.0715625	6.81341
0.09	0.073125	6.814929
0.09025	0.0734375	6.816471
0.0905	0.0715625	6.818023
0.09075	0.0740625	6.819601
0.091	0.0725	6.821191
0.09125	0.0690625	6.822797
0.0915	0.0709375	6.82443
0.09175	0.070625	6.826076
0.092	0.069375	6.827739
0.09225	0.07125	6.82943
0.0925	0.0690625	6.831126
0.09275	0.0671875	6.832836
0.093	0.0675	6.834554
0.09325	0.06875	6.836271
0.0935	0.066875	6.837971
0.09375	0.06375	6.839651
0.094	0.0646875	6.841312
0.09425	0.065	6.842935
0.0945	0.0625	6.84451
0.09475	0.063125	6.846051
0.095	0.063125	6.847561
0.09525	0.0596875	6.849063
0.0955	0.0590625	6.850587
0.09575	0.0571875	6.852148
0.096	0.05875	6.85378
0.09625	0.0590625	6.855481
0.0965	0.0603125	6.857252
0.09675	0.0590625	6.859081
0.097	0.0571875	6.860956
0.09725	0.05875	6.862896
0.0975	0.06125	6.864881
0.09775	0.0584375	6.866911
0.098	0.0634375	6.868992
0.09825	0.0634375	6.871084
0.0985	0.063125	6.8732
0.09875	0.063125	6.875329
0.099	0.0603125	6.877467
0.09925	0.0621875	6.879631
0.0995	0.06125	6.88182
0.09975	0.0596875	6.884046
0.1	0.061875	6.88632
0.10025	0.0596875	6.88863
0.1005	0.065625	6.891006
0.10075	0.0678125	6.893434
0.101	0.0675	6.895919
0.10125	0.0678125	6.898464
0.1015	0.0659375	6.901071
0.10175	0.0621875	6.903757
0.102	0.0584375	6.90654
0.10225	0.0490625	6.909423
0.1025	0.04625	6.912444
0.10275	0.041875	6.915605
0.103	0.0428125	6.918917
0.10325	0.0484375	6.922379
0.1035	0.046875	6.925965
0.10375	0.05625	6.929674
0.104	0.0646875	6.933469
0.10425	0.06875	6.937315
0.1045	0.078125	6.941197
0.10475	0.0821875	6.94506
0.105	0.0853125	6.948888
0.10525	0.088125	6.952662
0.1055	0.089375	6.956364
0.10575	0.090625	6.959994
0.106	0.086875	6.963534
0.10625	0.0865625	6.967016
0.1065	0.084375	6.970456
0.10675	0.080625	6.97385
0.107	0.0790625	6.97723
0.10725	0.0803125	6.980604
0.1075	0.074375	6.983958
0.10775	0.0775	6.98733
0.108	0.0771875	6.990687
0.10825	0.0759375	6.994035
0.1085	0.075625	6.997367
