Time	Amplitude	Unknown
0.0945	0.0765625	6.355198
0.09475	0.0790625	6.350615
0.095	0.078125	6.346071
0.09525	0.0809375	6.341512
0.0955	0.0821875	6.336872
0.09575	0.0815625	6.332133
0.096	0.08125	6.327295
0.09625	0.080625	6.32239
0.0965	0.0803125	6.317492
0.09675	0.07875	6.312735
0.097	0.075625	6.308286
0.09725	0.0784375	6.304276
0.0975	0.0796875	6.300714
0.09775	0.0775	6.297631
0.098	0.0784375	6.295007
0.09825	0.0765625	6.292788
0.0985	0.075	6.290977
0.09875	0.0715625	6.289558
0.099	0.0715625	6.288495
0.09925	0.0690625	6.287664
0.0995	0.065625	6.286944
0.09975	0.0675	6.286281
0.1	0.0659375	6.285629
0.10025	0.0615625	6.284988
0.1005	0.0609375	6.284396
0.10075	0.0603125	6.283862
0.101	0.0584375	6.2834
0.10125	0.0575	6.283019
0.1015	0.0546875	6.282724
0.10175	0.055625	6.282538
0.102	0.053125	6.282443
0.10225	0.053125	6.282436
0.1025	0.0528125	6.282505
0.10275	0.0490625	6.282632
0.103	0.0490625	6.282827
0.10325	0.051875	6.283082
0.1035	0.048125	6.283366
0.10375	0.0490625	6.2837
0.104	0.0484375	6.284068
0.10425	0.046875	6.284471
0.1045	0.0471875	6.284905
0.10475	0.0478125	6.285372
0.105	0.04875	6.285868
0.10525	0.0490625	6.286383
0.1055	0.0490625	6.286926
0.10575	0.0509375	6.287488
0.106	0.0509375	6.288053
0.10625	0.05375	6.288624
0.1065	0.055625	6.289192
0.10675	0.0553125	6.28974
0.107	0.05875	6.290277
0.10725	0.0603125	6.290785
0.1075	0.0609375	6.291264
0.10775	0.060625	6.291706
0.108	0.0609375	6.292114
0.10825	0.0634375	6.292501
0.1085	0.064375	6.292852
0.10875	0.06375	6.293167
0.109	0.0684375	6.293462
0.10925	0.06875	6.293711
0.1095	0.0690625	6.293919
0.10975	0.073125	6.294097
0.11	0.07125	6.294222
0.11025	0.0715625	6.294304
0.1105	0.073125	6.294347
0.11075	0.0775	6.294354
0.111	0.075	6.294298
0.11125	0.07375	6.294192
0.1115	0.0765625	6.294059
0.11175	0.078125	6.293875
0.112	0.07625	6.29364
0.11225	0.0778125	6.293371
0.1125	0.078125	6.293046
0.11275	0.0771875	6.292663
0.113	0.0753125	6.292231
0.11325	0.0759375	6.291771
0.1135	0.0784375	6.291278
0.11375	0.0765625	6.290733
0.114	0.078125	6.290148
0.11425	0.0778125	6.289509
0.1145	0.07625	6.288801
0.11475	0.0771875	6.288041
0.115	0.074375	6.287229
0.11525	0.0715625	6.286367
0.1155	0.071875	6.28547
0.11575	0.070625	6.284521
0.116	0.0696875	6.283526
0.11625	0.06875	6.282483
0.1165	0.06625	6.281392
0.11675	0.0675	6.280263
0.117	0.065625	6.279077
0.11725	0.065625	6.277842
0.1175	0.06375	6.276554
0.11775	0.059375	6.275208
0.118	0.0609375	6.273826
0.11825	0.05875	6.272394
0.1185	0.056875	6.270919
0.11875	0.0559375	6.269405
0.119	0.0528125	6.267851
0.11925	0.0553125	6.26627
0.1195	0.051875	6.264644
0.11975	0.0515625	6.262985
0.12	0.0534375	6.261288
0.12025	0.0515625	6.259545
0.1205	0.051875	6.257759
0.12075	0.0515625	6.255929
0.121	0.0475	6.254054
0.12125	0.0478125	6.252147
0.1215	0.0496875	6.250208
0.12175	0.050625	6.248234
0.122	0.0515625	6.24622
0.12225	0.0490625	6.244161
0.1225	0.0496875	6.242075
0.12275	0.0515625	6.239961
0.123	0.0509375	6.237807
0.12325	0.0540625	6.235621
0.1235	0.0528125	6.233387
0.12375	0.0534375	6.231116
0.124	0.055625	6.228809
0.12425	0.05625	6.226461
0.1245	0.058125	6.224075
0.12475	0.0609375	6.221634
0.125	0.0596875	6.219139
0.12525	0.0603125	6.216606
0.1255	0.0596875	6.214031
0.12575	0.0625	6.21143
0.126	0.0628125	6.208795
0.12625	0.0653125	6.206129
0.1265	0.068125	6.203425
0.12675	0.068125	6.200669
0.127	0.0684375	6.197869
0.12725	0.0696875	6.195025
0.1275	0.0709375	6.192145
0.12775	0.0715625	6.189229
0.128	0.070625	6.186269
0.12825	0.0725	6.183281
0.1285	0.0709375	6.180261
0.12875	0.070625	6.177215
0.129	0.0725	6.174162
0.12925	0.0690625	6.171088
0.1295	0.066875	6.168015
0.12975	0.0675	6.16496
0.13	0.066875	6.161913
0.13025	0.068125	6.158882
0.1305	0.0709375	6.155857
0.13075	0.071875	6.152821
0.131	0.0771875	6.149773
0.13125	0.0778125	6.146661
0.1315	0.078125	6.143484
0.13175	0.07375	6.14024
0.132	0.06625	6.136946
0.13225	0.0646875	6.133634
0.1325	0.0628125	6.130307
0.13275	0.060625	6.126976
0.133	0.0621875	6.123641
0.13325	0.064375	6.120284
0.1335	0.0646875	6.116897
0.13375	0.064375	6.113468
0.134	0.0603125	6.109991
0.13425	0.0490625	6.106485
0.1345	0.035	6.102993
0.13475	0.0196875	6.099561
0.135	0.0090625	6.096218
0.13525	-0.0003125	6.092967
0.1355	0.0025	6.089807
0.13575	0.003125	6.086735
0.136	0.0121875	6.08375
0.13625	0.031875	6.080845
0.1365	0.048125	6.077975
0.13675	0.05625	6.075094
0.137	0.060625	6.072156
0.13725	0.0621875	6.069136
0.1375	0.0621875	6.066033
0.13775	0.060625	6.062843
0.138	0.05875	6.059573
0.13825	0.06	6.056232
0.1385	0.059375	6.052814
0.13875	0.0634375	6.049322
0.139	0.0646875	6.045732
0.13925	0.0640625	6.042043
0.1395	0.06375	6.03826
0.13975	0.0603125	6.034379
0.14	0.059375	6.030427
0.14025	0.0609375	6.026412
0.1405	0.0621875	6.02233
0.14075	0.0646875	6.018174
0.141	0.0653125	6.013932
0.14125	0.0678125	6.009608
0.1415	0.0690625	6.005198
0.14175	0.0659375	6.000697
0.142	0.06625	5.996137
0.14225	0.07	5.991507
0.1425	0.07	5.986799
0.14275	0.071875	5.98202
0.143	0.070625	5.977161
0.14325	0.073125	5.97223
0.1435	0.0684375	5.967228
0.14375	0.069375	5.962184
0.144	0.0703125	5.957106
0.14425	0.06875	5.951987
0.1445	0.068125	5.946854
0.14475	0.0696875	5.941706
0.145	0.0675	5.936547
0.14525	0.07125	5.931403
0.1455	0.0715625	5.92624
0.14575	0.0734375	5.921071
0.146	0.0696875	5.915892
0.14625	0.06625	5.910726
0.1465	0.0659375	5.905594
0.14675	0.065625	5.900494
0.147	0.0653125	5.895424
0.14725	0.068125	5.890376
0.1475	0.0703125	5.885319
0.14775	0.0725	5.880256
0.148	0.070625	5.875173
0.14825	0.0684375	5.870065
0.1485	0.0684375	5.864956
0.14875	0.0659375	5.859837
0.149	0.0671875	5.854714
0.14925	0.0653125	5.84957
0.1495	0.0628125	5.844414
0.14975	0.0634375	5.839249
0.15	0.06375	5.834057
0.15025	0.06	5.828846
0.1505	0.0615625	5.823626
0.15075	0.0603125	5.818368
0.151	0.058125	5.81308
0.15125	0.0559375	5.807768
0.1515	0.0525	5.80243
0.15175	0.05	5.797082
0.152	0.049375	5.791721
0.15225	0.0475	5.786354
0.1525	0.050625	5.780976
0.15275	0.0465625	5.775576
0.153	0.0465625	5.770167
0.15325	0.045	5.764736
0.1535	0.044375	5.759285
0.15375	0.045	5.753826
0.154	0.0428125	5.748344
0.15425	0.0403125	5.742851
0.1545	0.04125	5.737356
0.15475	0.040625	5.731852
0.155	0.0425	5.726338
0.15525	0.0428125	5.720813
0.1555	0.0421875	5.715275
0.15575	0.04125	5.709726
0.156	0.04125	5.704172
0.15625	0.04375	5.698618
0.1565	0.0434375	5.693052
0.15675	0.041875	5.687479
0.157	0.0453125	5.681919
0.15725	0.0453125	5.676353
0.1575	0.0471875	5.67079
0.15775	0.0475	5.665234
0.158	0.0484375	5.659684
0.15825	0.05	5.654134
0.1585	0.050625	5.648581
0.15875	0.0515625	5.643032
0.159	0.05375	5.637487
0.15925	0.0528125	5.631938
0.1595	0.0565625	5.626413
0.15975	0.0584375	5.620898
0.16	0.0578125	5.615389
0.16025	0.0590625	5.609913
0.1605	0.06	5.604453
0.16075	0.061875	5.599013
0.161	0.0609375	5.593592
0.16125	0.0615625	5.588205
0.1615	0.0634375	5.582842
0.16175	0.0640625	5.577484
0.162	0.0659375	5.572147
0.16225	0.0684375	5.566826
0.1625	0.0634375	5.5615
