Interval=	0.00025 s
ExcelDateTime=	4.4812568317212477e+004	2022-09-08 13:38:22.607158
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG	Force
Range=	20.000 mV	42.46 V	10.000 V
0.01275	0.255625	21.57062	0.428125
0.013	0.280625	21.57062	0.428125
0.01325	0.298125	21.57062	0.428125
0.0135	0.315	21.57062	0.428125
0.01375	0.325625	21.57062	0.428125
0.014	0.335	21.57062	0.43
0.01425	0.350625	21.57062	0.43
0.0145	0.36875	21.57062	0.43
0.01475	0.383125	21.57062	0.43
0.015	0.386875	21.57062	0.4328125
0.01525	0.371875	21.57062	0.4328125
0.0155	0.370625	21.57062	0.4328125
0.01575	0.3775	21.57062	0.4328125
0.016	0.37625	21.57062	0.434375
0.01625	0.379375	21.57062	0.434375
0.0165	0.383125	21.57062	0.434375
0.01675	0.3825	21.57062	0.434375
0.017	0.373125	21.57062	0.4346875
0.01725	0.35625	21.57062	0.4346875
0.0175	0.33	21.57062	0.4346875
0.01775	0.29125	21.57062	0.4346875
0.018	0.254375	21.57062	0.4353125
0.01825	0.224375	21.57062	0.4353125
0.0185	0.19125	21.57062	0.4353125
0.01875	0.16625	21.57062	0.4353125
0.019	0.138125	21.57062	0.4371875
0.01925	0.10125	21.57062	0.4371875
0.0195	0.068125	21.57062	0.4371875
0.01975	0.0275	21.57062	0.4371875
0.02	-0.0075	21.57062	0.4396875
0.02025	-0.034375	21.57062	0.4396875
0.0205	-0.056875	21.57062	0.4396875
0.02075	-0.070625	21.57062	0.4396875
0.021	-0.084375	21.57062	0.4415625
0.02125	-0.101875	21.57062	0.4415625
0.0215	-0.118125	21.57062	0.4415625
0.02175	-0.1325	21.57062	0.4415625
0.022	-0.135625	21.57062	0.441875
0.02225	-0.1425	21.57062	0.441875
0.0225	-0.15	21.57062	0.441875
0.02275	-0.156875	21.57062	0.441875
0.023	-0.1725	21.57062	0.4409375
0.02325	-0.17875	21.57062	0.4409375
0.0235	-0.1825	21.57062	0.4409375
0.02375	-0.17375	21.57062	0.4409375
0.024	-0.15625	21.57062	0.4403125
0.02425	-0.15125	21.57062	0.4403125
0.0245	-0.135625	21.57062	0.4403125
0.02475	-0.11375	21.57062	0.4403125
0.025	-0.096875	21.57062	0.4415625
0.02525	-0.071875	21.57062	0.4415625
0.0255	-0.058125	21.57062	0.4415625
0.02575	-0.04	21.57062	0.4415625
0.026	-0.016875	21.57062	0.4425
0.02625	0.004375	21.57062	0.4425
0.0265	0.045	21.57062	0.4425
0.02675	0.090625	21.57062	0.4425
0.027	0.11625	21.57062	0.4428125
0.02725	0.15375	21.57062	0.4428125
0.0275	0.17875	21.57062	0.4428125
0.02775	0.21625	21.57062	0.4428125
0.028	0.24875	21.57062	0.4421875
0.02825	0.27125	21.57062	0.4421875
0.0285	0.29875	21.57062	0.4421875
0.02875	0.315	21.57062	0.4421875
0.029	0.32	21.57062	0.441875
0.02925	0.316875	21.57062	0.441875
0.0295	0.305625	21.57062	0.441875
0.02975	0.309375	21.57062	0.441875
0.03	0.3125	21.57062	0.4425
0.03025	0.31125	21.57062	0.4425
0.0305	0.305625	21.57062	0.4425
0.03075	0.3075	21.57062	0.4425
0.031	0.328125	21.57062	0.4453125
0.03125	0.35875	21.57062	0.4453125
0.0315	0.370625	21.57062	0.4453125
0.03175	0.360625	21.57062	0.4453125
0.032	0.33	21.57062	0.4478125
0.03225	0.3	21.57062	0.4478125
0.0325	0.28125	21.57062	0.4478125
0.03275	0.2675	21.57062	0.4478125
0.033	0.273125	21.57062	0.449375
0.03325	0.2725	21.57062	0.449375
0.0335	0.271875	21.57062	0.449375
0.03375	0.274375	21.57062	0.449375
0.034	0.2575	21.57062	0.45
0.03425	0.240625	21.57062	0.45
0.0345	0.216875	21.57062	0.45
0.03475	0.2025	21.57062	0.45
0.035	0.19875	21.57062	0.45125
0.03525	0.1875	21.57062	0.45125
0.0355	0.17875	21.57062	0.45125
0.03575	0.148125	21.57062	0.45125
0.036	0.109375	21.57062	0.4540625
0.03625	0.0775	21.57062	0.4540625
0.0365	0.028125	21.57062	0.4540625
0.03675	-0.006875	21.57062	0.4540625
0.037	-0.030625	21.57062	0.45625
0.03725	-0.0525	21.57062	0.45625
0.0375	-0.061875	21.57062	0.45625
0.03775	-0.06625	21.57062	0.45625
0.038	-0.074375	21.57062	0.458125
0.03825	-0.090625	21.57062	0.458125
0.0385	-0.10625	21.57062	0.458125
0.03875	-0.105625	21.57062	0.458125
0.039	-0.10375	21.57062	0.458125
0.03925	-0.110625	21.57062	0.458125
0.0395	-0.1175	21.57062	0.458125
0.03975	-0.12875	21.57062	0.458125
0.04	-0.116875	21.57062	0.4571875
0.04025	-0.101875	21.57062	0.4571875
0.0405	-0.091875	21.57062	0.4571875
0.04075	-0.080625	21.57062	0.4571875
0.041	-0.09	21.57062	0.4575
0.04125	-0.095625	21.57062	0.4575
0.0415	-0.0825	21.57062	0.4575
0.04175	-0.054375	21.57062	0.4575
0.042	-0.024375	21.57062	0.45875
0.04225	0.005	21.57062	0.45875
0.0425	0.0275	21.57062	0.45875
0.04275	0.04625	21.57062	0.45875
0.043	0.0625	21.57062	0.4596875
0.04325	0.08375	21.57062	0.4596875
0.0435	0.1075	21.57062	0.4596875
0.04375	0.133125	21.57062	0.4596875
0.044	0.160625	21.57062	0.4596875
0.04425	0.186875	21.57062	0.4596875
0.0445	0.216875	21.57062	0.4596875
0.04475	0.25125	21.57062	0.4596875
0.045	0.268125	21.57062	0.4590625
0.04525	0.290625	21.57062	0.4590625
0.0455	0.301875	21.57062	0.4590625
0.04575	0.305	21.57062	0.4590625
0.046	0.29875	21.57062	0.4590625
0.04625	0.2975	21.57062	0.4590625
0.0465	0.30375	21.57062	0.4590625
0.04675	0.31	21.57062	0.4590625
0.047	0.3025	21.57062	0.4603125
0.04725	0.29875	21.57062	0.4603125
0.0475	0.294375	21.57062	0.4603125
0.04775	0.28375	21.57062	0.4603125
0.048	0.28125	21.57062	0.4634375
0.04825	0.271875	21.57062	0.4634375
0.0485	0.25875	21.57062	0.4634375
0.04875	0.264375	21.57062	0.4634375
0.049	0.265	21.57062	0.465625
0.04925	0.273125	21.57062	0.465625
0.0495	0.286875	21.57062	0.465625
0.04975	0.285	21.57062	0.465625
0.05	0.276875	21.57062	0.4665625
0.05025	0.266875	21.56929	0.4665625
0.0505	0.265625	21.56775	0.4665625
0.05075	0.264375	21.56606	0.4665625
0.051	0.254375	21.56431	0.4671875
0.05125	0.234375	21.56264	0.4671875
0.0515	0.21375	21.56125	0.4671875
0.05175	0.194375	21.5602	0.4671875
0.052	0.160625	21.55947	0.4684375
0.05225	0.120625	21.55907	0.4684375
0.0525	0.07625	21.55898	0.4684375
0.05275	0.01125	21.55915	0.4684375
0.053	-0.019375	21.55953	0.47125
0.05325	-0.051875	21.56	0.47125
0.0535	-0.076875	21.56047	0.47125
0.05375	-0.088125	21.56087	0.47125
0.054	-0.119375	21.5612	0.473125
0.05425	-0.150625	21.56138	0.473125
0.0545	-0.175625	21.56136	0.473125
0.05475	-0.19875	21.56111	0.473125
0.055	-0.1975	21.56061	0.474375
0.05525	-0.193125	21.55994	0.474375
0.0555	-0.175625	21.5592	0.474375
0.05575	-0.146875	21.55847	0.474375
0.056	-0.143125	21.5579	0.4734375
0.05625	-0.1475	21.55743	0.4734375
0.0565	-0.13375	21.55703	0.4734375
0.05675	-0.12375	21.55672	0.4734375
0.057	-0.109375	21.5565	0.4725
0.05725	-0.103125	21.55637	0.4725
0.0575	-0.08875	21.55629	0.4725
0.05775	-0.0675	21.55625	0.4725
0.058	-0.041875	21.55626	0.4728125
0.05825	-0.00625	21.55628	0.4728125
0.0585	0.02625	21.55633	0.4728125
0.05875	0.048125	21.55638	0.4728125
0.059	0.066875	21.55644	0.4740625
0.05925	0.085625	21.55651	0.4740625
0.0595	0.11	21.55659	0.4740625
