Interval=	0.00025 s
ExcelDateTime=	4.4825404700274565e+004	2022-09-21 9:42:46.103723
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG
Range=	10.000 mV	42.46 V
0.01725	0.061875	10.6613
0.0175	0.0634375	10.65666
0.01775	0.05875	10.65197
0.018	0.0584375	10.64725
0.01825	0.0559375	10.64249
0.0185	0.053125	10.63769
0.01875	0.0565625	10.63286
0.019	0.054375	10.62799
0.01925	0.055	10.62307
0.0195	0.0559375	10.61812
0.01975	0.054375	10.61313
0.02	0.0559375	10.60811
0.02025	0.0553125	10.60307
0.0205	0.0565625	10.598
0.02075	0.0578125	10.59292
0.021	0.0571875	10.58783
0.02125	0.0584375	10.58274
0.0215	0.0584375	10.57766
0.02175	0.0571875	10.5726
0.022	0.05875	10.56758
0.02225	0.056875	10.56257
0.0225	0.0615625	10.55758
0.02275	0.06375	10.5526
0.023	0.0625	10.5476
0.02325	0.0628125	10.54258
0.0235	0.0646875	10.53755
0.02375	0.0646875	10.53248
0.024	0.06625	10.52739
0.02425	0.06625	10.52228
0.0245	0.0659375	10.51716
0.02475	0.0653125	10.51201
0.025	0.06625	10.50683
0.02525	0.0671875	10.5016
0.0255	0.065	10.49631
0.02575	0.0640625	10.49097
0.026	0.0615625	10.48559
0.02625	0.056875	10.48017
0.0265	0.0565625	10.47473
0.02675	0.053125	10.46927
0.027	0.049375	10.46385
0.02725	0.0528125	10.45851
0.0275	0.05625	10.45328
0.02775	0.0609375	10.44817
0.028	0.0590625	10.44316
0.02825	0.056875	10.43823
0.0285	0.0490625	10.43337
0.02875	0.038125	10.42857
0.029	0.0196875	10.42385
0.02925	-0.014375	10.41921
0.0295	-0.0890625	10.41466
0.02975	-0.1996875	10.41002
0.03	-0.2696875	10.40451
0.03025	-0.28625	10.39736
0.0305	-0.3153125	10.38834
0.03075	-0.34	10.37702
0.031	-0.276875	10.363
0.03125	-0.1378125	10.3472
0.0315	0.0071875	10.33099
0.03175	0.1371875	10.31483
