Interval=	0.00025 s
ExcelDateTime=	4.4750462619190352e+004	2022-07-08 11:06:10.298047
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG
Range=	10.000 mV	42.46 V
0.09925	0.0403125	7.32206
0.0995	0.03	7.320938
0.09975	0.0228125	7.320417
0.1	0.015625	7.320421
0.10025	0.01125	7.320842
0.1005	0.0175	7.321586
0.10075	0.0140625	7.322596
0.101	0.0096875	7.323844
0.10125	0.0046875	7.325296
0.1015	-0.0009375	7.326918
0.10175	0.0040625	7.328676
0.102	0.0090625	7.330564
0.10225	0.0046875	7.332568
0.1025	-0.000625	7.334685
0.10275	0.0003125	7.336896
0.103	0.0065625	7.339171
0.10325	0.0146875	7.341503
0.1035	0.0175	7.343881
0.10375	0.0165625	7.346302
0.104	0.02	7.348779
0.10425	0.0221875	7.351309
0.1045	0.0246875	7.353896
0.10475	0.038125	7.356537
0.105	0.04	7.359203
0.10525	0.0409375	7.361918
0.1055	0.04875	7.364702
0.10575	0.050625	7.367555
0.106	0.0590625	7.370527
0.10625	0.071875	7.373616
0.1065	0.07	7.376794
0.10675	0.0696875	7.380108
0.107	0.071875	7.383583
0.10725	0.08125	7.387215
0.1075	0.088125	7.390966
0.10775	0.099375	7.394805
0.108	0.09625	7.398687
0.10825	0.099375	7.402628
0.1085	0.1028125	7.406634
0.10875	0.10625	7.410678
0.109	0.1046875	7.414755
0.10925	0.1190625	7.418892
0.1095	0.11875	7.423012
0.10975	0.1178125	7.427134
0.11	0.11625	7.431307
0.11025	0.118125	7.435506
0.1105	0.1203125	7.439719
0.11075	0.1228125	7.443922
0.111	0.1178125	7.448094
0.11125	0.11625	7.452296
0.1115	0.1175	7.456487
0.11175	0.1103125	7.460628
0.112	0.1071875	7.464737
0.11225	0.1	7.468818
0.1125	0.0978125	7.472921
0.11275	0.0978125	7.477011
0.113	0.0971875	7.481055
0.11325	0.0915625	7.485048
0.1135	0.0825	7.488983
0.11375	0.0803125	7.492887
0.114	0.078125	7.49675
0.11425	0.0753125	7.500553
0.1145	0.0646875	7.504296
0.11475	0.0590625	7.507998
0.115	0.0571875	7.511673
0.11525	0.053125	7.51531
0.1155	0.0471875	7.518904
0.11575	0.0446875	7.522478
0.116	0.0375	7.526035
0.11625	0.030625	7.529573
0.1165	0.03	7.533112
0.11675	0.0275	7.536652
0.117	0.030625	7.540197
0.11725	0.023125	7.543744
0.1175	0.0178125	7.5473
0.11775	0.0165625	7.550858
0.118	0.0153125	7.554413
0.11825	0.0090625	7.557968
0.1185	0.01	7.561535
0.11875	0.0096875	7.565119
0.119	0.014375	7.56872
0.11925	0.0134375	7.572329
0.1195	0.014375	7.575941
0.11975	0.023125	7.579564
0.12	0.0175	7.583199
0.12025	0.0209375	7.586886
0.1205	0.025	7.590632
0.12075	0.025625	7.594438
0.121	0.028125	7.598303
0.12125	0.0328125	7.602201
0.1215	0.03875	7.606115
0.12175	0.0453125	7.610018
0.122	0.0459375	7.613893
0.12225	0.0528125	7.617754
0.1225	0.063125	7.621579
0.12275	0.065	7.625338
0.123	0.0725	7.629051
0.12325	0.0784375	7.632722
0.1235	0.088125	7.636338
0.12375	0.0921875	7.639854
0.124	0.0928125	7.643242
0.12425	0.096875	7.646487
0.1245	0.1015625	7.649551
0.12475	0.10125	7.65241
0.125	0.1078125	7.655111
0.12525	0.11375	7.657641
0.1255	0.1128125	7.660064
0.12575	0.1103125	7.662533
0.126	0.1121875	7.665121
0.12625	0.1165625	7.667768
0.1265	0.1184375	7.67049
0.12675	0.1209375	7.673678
0.127	0.1209375	7.678058
0.12725	0.119375	7.684037
0.1275	0.119375	7.691086
0.12775	0.1184375	7.698428
0.128	0.123125	7.705645
0.12825	0.1165625	7.712563
0.1285	0.108125	7.719227
0.12875	0.108125	7.725717
0.129	0.1090625	7.732001
0.12925	0.104375	7.738057
0.1295	0.10125	7.743938
0.12975	0.0940625	7.749661
0.13	0.08875	7.755282
0.13025	0.0875	7.760842
0.1305	0.0828125	7.766313
0.13075	0.086875	7.771638
0.131	0.07375	7.77686
0.13125	0.0690625	7.782466
0.1315	0.0659375	7.789304
0.13175	0.0575	7.798413
0.132	0.050625	7.811171
0.13225	0.0440625	7.829306
0.1325	0.0409375	7.85376
0.13275	0.038125	7.88325
0.133	0.0321875	7.914561
0.13325	0.0296875	7.945846
0.1335	0.0359375	7.977125
0.13375	0.0296875	8.008619
0.134	0.023125	8.040201
0.13425	0.02	8.071645
0.1345	0.0159375	8.103057
0.13475	0.0184375	8.134408
0.135	0.0171875	8.165656
0.13525	0.0203125	8.197154
0.1355	0.0221875	8.229236
0.13575	0.02	8.262434
0.136	0.0259375	8.297997
0.13625	0.029375	8.337263
0.1365	0.0234375	8.380274
0.13675	0.0271875	8.425789
0.137	0.0265625	8.472716
0.13725	0.0240625	8.52057
0.1375	0.029375	8.569035
0.13775	0.0346875	8.617789
0.138	0.04	8.666516
0.13825	0.0446875	8.715009
0.1385	0.04875	8.763202
0.13875	0.0509375	8.811091
0.139	0.0628125	8.858784
0.13925	0.0675	8.90667
0.1395	0.0696875	8.955341
0.13975	0.0728125	9.005336
0.14	0.0765625	9.056799
0.14025	0.0784375	9.109306
0.1405	0.0853125	9.162092
0.14075	0.0915625	9.214745
0.141	0.0978125	9.267174
0.14125	0.1028125	9.319423
0.1415	0.110625	9.371469
0.14175	0.12	9.42324
0.142	0.1146875	9.474706
0.14225	0.1103125	9.525893
0.1425	0.1153125	9.576671
0.14275	0.118125	9.627109
0.143	0.1203125	9.677943
0.14325	0.120625	9.730349
0.1435	0.115625	9.785155
0.14375	0.115625	9.841527
0.144	0.118125	9.897652
0.14425	0.1178125	9.953525
0.1445	0.1228125	10.00943
0.14475	0.1121875	10.06486
0.145	0.1096875	10.12034
0.14525	0.109375	10.17663
0.1455	0.108125	10.23294
0.14575	0.10625	10.28888
0.146	0.1025	10.34552
0.14625	0.099375	10.40374
0.1465	0.0965625	10.46333
0.14675	0.09125	10.52347
0.147	0.093125	10.58383
0.14725	0.089375	10.64441
0.1475	0.079375	10.70553
0.14775	0.0740625	10.76755
0.148	0.0709375	10.83032
0.14825	0.064375	10.89322
0.1485	0.0534375	10.95589
0.14875	0.048125	11.01821
0.149	0.0528125	11.08024
0.14925	0.04875	11.14324
0.1495	0.0390625	11.21134
0.14975	0.0390625	11.29121
0.15	0.0340625	11.38803
0.15025	0.03875	11.50268
0.1505	0.0290625	11.63167
0.15075	0.0278125	11.77045
0.151	0.0265625	11.91651
0.15125	0.021875	12.06847
0.1515	0.0259375	12.22402
0.15175	0.0265625	12.38036
0.152	0.021875	12.53571
0.15225	0.020625	12.68921
0.1525	0.021875	12.84148
0.15275	0.0259375	12.99437
0.153	0.0309375	13.14856
0.15325	0.030625	13.3033
0.1535	0.0309375	13.45784
0.15375	0.0340625	13.61179
0.154	0.0371875	13.76495
0.15425	0.0409375	13.91716
0.1545	0.0475	14.06797
0.15475	0.04875	14.21738
0.155	0.0459375	14.36851
0.15525	0.051875	14.52599
0.1555	0.0590625	14.69188
0.15575	0.066875	14.86447
0.156	0.0815625	15.04046
0.15625	0.0825	15.21697
0.1565	0.0828125	15.39201
0.15675	0.0859375	15.56502
0.157	0.09	15.73657
0.15725	0.094375	15.90738
0.1575	0.0990625	16.07805
0.15775	0.0925	16.24928
0.158	0.09625	16.42176
0.15825	0.1003125	16.59535
0.1585	0.1021875	16.7692
0.15875	0.1046875	16.94251
0.159	0.109375	17.11495
0.15925	0.1065625	17.2868
0.1595	0.110625	17.45957
0.15975	0.109375	17.63559
0.16	0.1071875	17.81519
0.16025	0.103125	17.99642
0.1605	0.1096875	18.17705
0.16075	0.1159375	18.35607
0.161	0.116875	18.53333
0.16125	0.120625	18.70893
0.1615	0.1103125	18.88315
0.16175	0.1040625	19.05634
0.162	0.1009375	19.22875
0.16225	0.0990625	19.40057
0.1625	0.1003125	19.57214
0.16275	0.0953125	19.74407
0.163	0.09125	19.91715
0.16325	0.0884375	20.09204
0.1635	0.0790625	20.26865
0.16375	0.0746875	20.44627
0.164	0.073125	20.62428
0.16425	0.0659375	20.80215
0.1645	0.064375	20.97917
0.16475	0.0603125	21.15482
0.165	0.0565625	21.329
0.16525	0.05375	21.50191
0.1655	0.0503125	21.67374
0.16575	0.051875	21.84444
0.166	0.0509375	22.01382
0.16625	0.0428125	22.18198
0.1665	0.0434375	22.34924
0.16675	0.044375	22.51569
0.167	0.0434375	22.68133
0.16725	0.04375	22.84611
0.1675	0.0384375	23.01019
0.16775	0.029375	23.1741
0.168	0.0115625	23.3387
0.16825	0.0003125	23.50488
