Interval=	0.0001 s
ExcelDateTime=	4.4825385931571953e+004	2022-09-21 9:15:44.487817
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG	Grip Force
Range=	10.000 mV	42.46 V	1000.0 mV
UnitName=	*	*	N
TopValue=	*	*	800.0
BottomValue=	*	*	-800.0
0.0161	0.07	7.104497	1.8
0.0162	0.07	7.104497	1.825
0.0163	0.069375	7.104497	1.875
0.0164	0.069375	7.104497	1.9
0.0165	0.07	7.104497	1.925
0.0166	0.07	7.104497	1.975
0.0167	0.07	7.104497	2
0.0168	0.0675	7.104497	2.025
0.0169	0.0675	7.104497	2.075
0.017	0.066875	7.104497	2.1
0.0171	0.066875	7.104497	2.125
0.0172	0.066875	7.104497	2.175
0.0173	0.068125	7.104497	2.2
0.0174	0.068125	7.104497	2.25
0.0175	0.068125	7.104497	2.275
0.0176	0.068125	7.104497	2.325
0.0177	0.068125	7.104497	2.35
0.0178	0.07	7.104497	2.4
0.0179	0.07	7.104497	2.425
0.018	0.068125	7.104497	2.475
0.0181	0.068125	7.104497	2.5
0.0182	0.068125	7.104497	2.55
0.0183	0.06875	7.104497	2.575
0.0184	0.06875	7.104497	2.625
0.0185	0.066875	7.104497	2.65
0.0186	0.066875	7.104497	2.7
0.0187	0.066875	7.104497	2.725
0.0188	0.06625	7.104497	2.775
0.0189	0.06625	7.104497	2.8
0.019	0.0684375	7.104497	2.85
0.0191	0.0684375	7.104497	2.875
0.0192	0.0684375	7.104497	2.925
0.0193	0.0684375	7.104497	2.975
0.0194	0.0684375	7.104497	3
0.0195	0.0665625	7.104497	3.05
0.0196	0.0665625	7.104497	3.075
0.0197	0.0665625	7.104497	3.125
0.0198	0.0675	7.104497	3.175
0.0199	0.0675	7.104497	3.2
0.02	0.0665625	7.104497	3.25
0.0201	0.0665625	7.104497	3.275
0.0202	0.0665625	7.104497	3.325
0.0203	0.065625	7.104497	3.375
0.0204	0.065625	7.104497	3.4
0.0205	0.0646875	7.104497	3.45
0.0206	0.0646875	7.104497	3.5
0.0207	0.0646875	7.104497	3.525
0.0208	0.06375	7.104497	3.575
0.0209	0.06375	7.104497	3.625
0.021	0.06625	7.104497	3.65
0.0211	0.06625	7.104497	3.7
0.0212	0.06625	7.104497	3.75
0.0213	0.0659375	7.104497	3.775
0.0214	0.0659375	7.104497	3.825
0.0215	0.06625	7.104497	3.875
0.0216	0.06625	7.104497	3.9
0.0217	0.06625	7.104497	3.95
0.0218	0.06625	7.104497	3.975
0.0219	0.06625	7.104497	4.025
0.022	0.0653125	7.104497	4.075
0.0221	0.0653125	7.104497	4.1
0.0222	0.0653125	7.104497	4.15
0.0223	0.0678125	7.104497	4.2
0.0224	0.0678125	7.104497	4.225
0.0225	0.0690625	7.104497	4.275
0.0226	0.0690625	7.104497	4.325
0.0227	0.0690625	7.104497	4.35
0.0228	0.0715625	7.104497	4.4
0.0229	0.0715625	7.104497	4.425
0.023	0.0728125	7.104497	4.475
0.0231	0.0728125	7.104497	4.525
0.0232	0.0728125	7.104497	4.55
0.0233	0.0703125	7.104497	4.6
0.0234	0.0703125	7.104497	4.65
0.0235	0.07125	7.104497	4.675
0.0236	0.07125	7.104497	4.725
0.0237	0.07125	7.104497	4.75
0.0238	0.0715625	7.104497	4.8
0.0239	0.0715625	7.104497	4.825
0.024	0.0709375	7.104497	4.875
0.0241	0.0709375	7.104497	4.925
0.0242	0.0709375	7.104497	4.95
0.0243	0.0728125	7.104497	5
0.0244	0.0728125	7.104497	5.025
0.0245	0.073125	7.104497	5.075
0.0246	0.073125	7.104497	5.1
0.0247	0.073125	7.104497	5.15
0.0248	0.0775	7.104497	5.175
0.0249	0.0775	7.104497	5.225
0.025	0.0821875	7.104497	5.25
0.0251	0.0821875	7.104497	5.3
0.0252	0.0821875	7.104497	5.325
0.0253	0.08125	7.104497	5.375
0.0254	0.08125	7.104497	5.4
0.0255	0.086875	7.104497	5.45
0.0256	0.086875	7.104497	5.475
0.0257	0.086875	7.104497	5.525
0.0258	0.0890625	7.104497	5.55
0.0259	0.0890625	7.104497	5.575
0.026	0.0890625	7.104497	5.625
0.0261	0.0890625	7.104497	5.65
0.0262	0.0890625	7.104497	5.7
0.0263	0.0903125	7.104497	5.725
0.0264	0.0903125	7.104497	5.75
0.0265	0.08625	7.104497	5.8
0.0266	0.08625	7.104497	5.825
0.0267	0.08625	7.104497	5.875
0.0268	0.0871875	7.104497	5.9
0.0269	0.0871875	7.104497	5.925
0.027	0.08625	7.104497	5.975
0.0271	0.08625	7.104497	6
0.0272	0.08625	7.104497	6.025
0.0273	0.0846875	7.104497	6.05
0.0274	0.0846875	7.104497	6.1
0.0275	0.08375	7.104497	6.125
0.0276	0.08375	7.104497	6.15
0.0277	0.08375	7.104497	6.2
0.0278	0.0771875	7.104497	6.225
0.0279	0.0771875	7.104497	6.25
0.028	0.0721875	7.104497	6.275
0.0281	0.0721875	7.104497	6.325
0.0282	0.0721875	7.104497	6.35
0.0283	0.06875	7.104497	6.375
0.0284	0.06875	7.104497	6.4
0.0285	0.0653125	7.104497	6.425
0.0286	0.0653125	7.104497	6.45
0.0287	0.0653125	7.104497	6.5
0.0288	0.0640625	7.104497	6.525
0.0289	0.0640625	7.104497	6.55
0.029	0.06	7.104497	6.575
