Interval=	0.0001 s
ExcelDateTime=	4.4825383613228492e+004	2022-09-21 9:12:24.182942
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG	Grip Force
Range=	10.000 mV	42.46 V	1000.0 mV
UnitName=	*	*	N
TopValue=	*	*	800.0
BottomValue=	*	*	-800.0
0.0231	0.1034375	7.899746	3.15
0.0232	0.1034375	7.899746	3.175
0.0233	0.1003125	7.899746	3.2
0.0234	0.1003125	7.899746	3.225
0.0235	0.095	7.899746	3.25
0.0236	0.095	7.899746	3.275
0.0237	0.095	7.899746	3.3
0.0238	0.0903125	7.899746	3.325
0.0239	0.0903125	7.899746	3.375
0.024	0.0859375	7.899746	3.4
0.0241	0.0859375	7.899746	3.425
0.0242	0.0859375	7.899746	3.45
0.0243	0.07875	7.899746	3.475
0.0244	0.07875	7.899746	3.5
0.0245	0.07375	7.899746	3.525
0.0246	0.07375	7.899746	3.55
0.0247	0.07375	7.899746	3.575
0.0248	0.0675	7.899746	3.6
0.0249	0.0675	7.899746	3.625
0.025	0.064375	7.899746	3.65
0.0251	0.064375	7.899746	3.675
0.0252	0.064375	7.899746	3.7
0.0253	0.0590625	7.899746	3.725
0.0254	0.0590625	7.899746	3.75
0.0255	0.055625	7.899746	3.775
0.0256	0.055625	7.899746	3.8
0.0257	0.055625	7.899746	3.825
0.0258	0.0553125	7.899746	3.85
0.0259	0.0553125	7.899746	3.875
0.026	0.0521875	7.899746	3.9
0.0261	0.0521875	7.899746	3.925
0.0262	0.0521875	7.899746	3.95
0.0263	0.046875	7.899746	3.975
0.0264	0.046875	7.899746	4
0.0265	0.0434375	7.899746	4.025
0.0266	0.0434375	7.899746	4.05
0.0267	0.0434375	7.899746	4.075
0.0268	0.03875	7.899746	4.075
0.0269	0.03875	7.899746	4.1
0.027	0.0359375	7.899746	4.125
0.0271	0.0359375	7.899746	4.15
0.0272	0.0359375	7.899746	4.175
0.0273	0.03625	7.899746	4.2
0.0274	0.03625	7.899746	4.225
0.0275	0.033125	7.899746	4.25
0.0276	0.033125	7.899746	4.25
0.0277	0.033125	7.899746	4.275
0.0278	0.0315625	7.899746	4.3
0.0279	0.0315625	7.899746	4.325
0.028	0.02875	7.899746	4.35
0.0281	0.02875	7.899746	4.375
0.0282	0.02875	7.899746	4.375
0.0283	0.02875	7.899746	4.4
0.0284	0.02875	7.899746	4.425
0.0285	0.03125	7.899746	4.45
0.0286	0.03125	7.899746	4.475
0.0287	0.03125	7.899746	4.475
0.0288	0.0271875	7.899746	4.5
0.0289	0.0271875	7.899746	4.525
0.029	0.03	7.899746	4.55
