Interval=	0.00025 s
ExcelDateTime=	4.4903493396582991e+004	2022-12-08 11:50:29.46477
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG	Force
Range=	20.000 mV	42.46 V	10.000 V
0.01225	-0.381875	38.45013	0.22375
0.0125	-0.37875	38.45013	0.22375
0.01275	-0.38	38.45013	0.22375
0.013	-0.380625	38.45013	0.225
0.01325	-0.375625	38.45013	0.225
0.0135	-0.38125	38.45013	0.225
0.01375	-0.3825	38.45013	0.225
0.014	-0.3825	38.45013	0.22625
0.01425	-0.388125	38.45013	0.22625
0.0145	-0.37625	38.45013	0.22625
0.01475	-0.366875	38.45013	0.22625
0.015	-0.36375	38.45013	0.2259375
0.01525	-0.356875	38.45013	0.2259375
0.0155	-0.35625	38.45013	0.2259375
0.01575	-0.353125	38.45013	0.2259375
0.016	-0.3525	38.45013	0.2240625
0.01625	-0.365	38.45013	0.2240625
0.0165	-0.3625	38.45013	0.2240625
0.01675	-0.361875	38.45013	0.2240625
0.017	-0.364375	38.45013	0.2225
0.01725	-0.368125	38.45013	0.2225
0.0175	-0.36875	38.45013	0.2225
0.01775	-0.36	38.45013	0.2225
0.018	-0.355625	38.45013	0.2225
0.01825	-0.354375	38.45013	0.2225
0.0185	-0.3525	38.45013	0.2225
0.01875	-0.3575	38.45013	0.2225
0.019	-0.3625	38.45013	0.2228125
0.01925	-0.369375	38.45013	0.2228125
0.0195	-0.369375	38.45013	0.2228125
0.01975	-0.365	38.45013	0.2228125
0.02	-0.37875	38.45013	0.2221875
0.02025	-0.38125	38.45013	0.2221875
0.0205	-0.383125	38.45013	0.2221875
0.02075	-0.3925	38.45013	0.2221875
0.021	-0.384375	38.45013	0.220625
0.02125	-0.39625	38.45013	0.220625
0.0215	-0.400625	38.45013	0.220625
0.02175	-0.405	38.45013	0.220625
0.022	-0.40375	38.45013	0.219375
0.02225	-0.390625	38.45013	0.219375
0.0225	-0.3925	38.45013	0.219375
0.02275	-0.381875	38.45013	0.219375
0.023	-0.379375	38.45013	0.2190625
0.02325	-0.3875	38.45013	0.2190625
0.0235	-0.39	38.45013	0.2190625
0.02375	-0.395625	38.45013	0.2190625
0.024	-0.403125	38.45013	0.2209375
0.02425	-0.40125	38.45013	0.2209375
0.0245	-0.405	38.45013	0.2209375
0.02475	-0.41125	38.45013	0.2209375
0.025	-0.413125	38.45013	0.2225
0.02525	-0.40625	38.45013	0.2225
0.0255	-0.4125	38.45013	0.2225
0.02575	-0.406875	38.45013	0.2225
0.026	-0.41125	38.45013	0.223125
0.02625	-0.40875	38.45013	0.223125
0.0265	-0.403125	38.45013	0.223125
0.02675	-0.403125	38.45013	0.223125
0.027	-0.403125	38.45013	0.2225
0.02725	-0.404375	38.45013	0.2225
0.0275	-0.396875	38.45013	0.2225
0.02775	-0.404375	38.45013	0.2225
0.028	-0.410625	38.45013	0.223125
0.02825	-0.40875	38.45013	0.223125
0.0285	-0.410625	38.45013	0.223125
0.02875	-0.40875	38.45013	0.223125
0.029	-0.406875	38.45013	0.2246875
0.02925	-0.40875	38.45013	0.2246875
0.0295	-0.395625	38.45013	0.2246875
0.02975	-0.385625	38.45013	0.2246875
0.03	-0.379375	38.45013	0.2259375
0.03025	-0.37625	38.45013	0.2259375
0.0305	-0.374375	38.45013	0.2259375
0.03075	-0.374375	38.45013	0.2259375
0.031	-0.371875	38.45013	0.226875
0.03125	-0.36375	38.45013	0.226875
0.0315	-0.355625	38.45013	0.226875
0.03175	-0.35125	38.45013	0.226875
0.032	-0.345	38.45013	0.225625
0.03225	-0.336875	38.45013	0.225625
0.0325	-0.34125	38.45013	0.225625
0.03275	-0.33875	38.45013	0.225625
0.033	-0.3425	38.45013	0.22375
0.03325	-0.34625	38.45013	0.22375
0.0335	-0.3425	38.45013	0.22375
0.03375	-0.351875	38.45013	0.22375
0.034	-0.35625	38.45013	0.2225
0.03425	-0.36	38.45013	0.2225
0.0345	-0.363125	38.45013	0.2225
0.03475	-0.364375	38.45013	0.2225
0.035	-0.36375	38.45013	0.223125
0.03525	-0.36625	38.45013	0.223125
0.0355	-0.361875	38.45013	0.223125
0.03575	-0.355625	38.45013	0.223125
0.036	-0.351875	38.45013	0.223125
0.03625	-0.35625	38.45013	0.223125
0.0365	-0.363125	38.45013	0.223125
0.03675	-0.37625	38.45013	0.223125
0.037	-0.386875	38.45013	0.221875
0.03725	-0.3925	38.45013	0.221875
0.0375	-0.40125	38.45013	0.221875
0.03775	-0.399375	38.45013	0.221875
0.038	-0.401875	38.45013	0.2203125
0.03825	-0.405625	38.45013	0.2203125
0.0385	-0.40375	38.45013	0.2203125
0.03875	-0.41375	38.45013	0.2203125
0.039	-0.413125	38.45013	0.219375
0.03925	-0.41125	38.45013	0.219375
0.0395	-0.415	38.45013	0.219375
0.03975	-0.421875	38.45013	0.219375
0.04	-0.426875	38.45013	0.2196875
0.04025	-0.425625	38.45013	0.2196875
0.0405	-0.425	38.45013	0.2196875
0.04075	-0.421875	38.45013	0.2196875
0.041	-0.42	38.45013	0.221875
